,bus,p_min_pu_fixed,capital_cost,p_nom_extendable,p_nom,p_nom_opt,carrier,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch
CH battery,CH,-1.0,120388.58286,True,0.0,0.576801322878,battery,True,6.0,0.9,0.9
HR PHS,HR,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
HR hydro,HR,0.0,0.0,False,1200.0,1200.0,hydro,True,2333.33333333,0.0,1.0
HR H2,HR,-1.0,195362.993923,True,0.0,0.0247802449662,H2,True,168.0,0.75,0.58
HR battery,HR,-1.0,120388.58286,True,0.0,224.960976018,battery,True,6.0,0.9,0.9
RO PHS,RO,-1.0,0.0,False,90.0,90.0,PHS,True,6.0,0.866025403784,0.866025403784
RO hydro,RO,0.0,0.0,False,3846.98608993,3846.98608993,hydro,True,3145.31940515,0.0,1.0
RO H2,RO,-1.0,195362.993923,True,0.0,0.0138910067855,H2,True,168.0,0.75,0.58
RO battery,RO,-1.0,120388.58286,True,0.0,4557.84938673,battery,True,6.0,0.9,0.9
CZ PHS,CZ,-1.0,0.0,False,680.0,680.0,PHS,True,6.0,0.866025403784,0.866025403784
CZ hydro,CZ,0.0,0.0,False,1989.0,1989.0,hydro,True,754.147812971,0.0,1.0
CZ H2,CZ,-1.0,195362.993923,True,0.0,0.120264418191,H2,True,168.0,0.75,0.58
CZ battery,CZ,-1.0,120388.58286,True,0.0,0.110642714072,battery,True,6.0,0.9,0.9
HU hydro,HU,0.0,0.0,False,29.473684212,29.473684212,hydro,True,3392.85714269,0.0,1.0
HU H2,HU,-1.0,195362.993923,True,0.0,0.0222730386368,H2,True,168.0,0.75,0.58
HU battery,HU,-1.0,120388.58286,True,0.0,634.240305917,battery,True,6.0,0.9,0.9
RS PHS,RS,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
RS hydro,RS,0.0,0.0,False,390.273556298,390.273556298,hydro,True,0.0,0.0,1.0
RS H2,RS,-1.0,195362.993923,True,0.0,0.0161704461039,H2,True,168.0,0.75,0.58
RS battery,RS,-1.0,120388.58286,True,0.0,1808.7849914,battery,True,6.0,0.9,0.9
DE PHS,DE,-1.0,0.0,False,6800.0,6800.0,PHS,True,6.0,0.866025403784,0.866025403784
DE hydro,DE,0.0,0.0,False,1267.13232429,1267.13232429,hydro,True,236.755068314,0.0,1.0
DE H2,DE,-1.0,195362.993923,True,0.0,2229.10686637,H2,True,168.0,0.75,0.58
DE battery,DE,-1.0,120388.58286,True,0.0,0.0295606225127,battery,True,6.0,0.9,0.9
IE PHS,IE,-1.0,0.0,False,290.0,290.0,PHS,True,6.0,0.866025403784,0.866025403784
IE hydro,IE,0.0,0.0,False,424.0,424.0,hydro,True,0.0,0.0,1.0
IE H2,IE,-1.0,195362.993923,True,0.0,8874.75055501,H2,True,168.0,0.75,0.58
IE battery,IE,-1.0,120388.58286,True,0.0,0.0216157609423,battery,True,6.0,0.9,0.9
SE PHS,SE,-1.0,0.0,False,100.0,100.0,PHS,True,6.0,0.866025403784,0.866025403784
SE hydro,SE,0.0,0.0,False,9846.0,9846.0,hydro,True,3432.86613853,0.0,1.0
SE H2,SE,-1.0,195362.993923,True,0.0,0.0549738138805,H2,True,168.0,0.75,0.58
SE battery,SE,-1.0,120388.58286,True,0.0,0.0174176193445,battery,True,6.0,0.9,0.9
DK H2,DK,-1.0,195362.993923,True,0.0,10663.9180664,H2,True,168.0,0.75,0.58
DK battery,DK,-1.0,120388.58286,True,0.0,0.0247048449915,battery,True,6.0,0.9,0.9
IT PHS,IT,-1.0,0.0,False,7550.0,7550.0,PHS,True,6.0,0.866025403784,0.866025403784
IT hydro,IT,0.0,0.0,False,13128.0,13128.0,hydro,True,601.767215113,0.0,1.0
IT H2,IT,-1.0,195362.993923,True,0.0,0.0220050668602,H2,True,168.0,0.75,0.58
IT battery,IT,-1.0,120388.58286,True,0.0,26647.8810064,battery,True,6.0,0.9,0.9
SI PHS,SI,-1.0,0.0,False,180.0,180.0,PHS,True,6.0,0.866025403784,0.866025403784
SI hydro,SI,0.0,0.0,False,750.0,750.0,hydro,True,2933.33333333,0.0,1.0
SI H2,SI,-1.0,195362.993923,True,0.0,0.0379573975563,H2,True,168.0,0.75,0.58
SI battery,SI,-1.0,120388.58286,True,0.0,0.190612405276,battery,True,6.0,0.9,0.9
ES PHS,ES,-1.0,0.0,False,2750.0,2750.0,PHS,True,6.0,0.866025403784,0.866025403784
ES hydro,ES,0.0,0.0,False,17505.6480907,17505.6480907,hydro,True,1051.0893344,0.0,1.0
ES H2,ES,-1.0,195362.993923,True,0.0,0.0277472741358,H2,True,168.0,0.75,0.58
ES battery,ES,-1.0,120388.58286,True,0.0,37468.4098647,battery,True,6.0,0.9,0.9
LU PHS,LU,-1.0,0.0,False,1290.0,1290.0,PHS,True,6.0,0.866025403784,0.866025403784
LU hydro,LU,0.0,0.0,False,345.277777828,345.277777828,hydro,True,0.0,0.0,1.0
LU H2,LU,-1.0,195362.993923,True,0.0,0.0259143688025,H2,True,168.0,0.75,0.58
LU battery,LU,-1.0,120388.58286,True,0.0,0.0140636933979,battery,True,6.0,0.9,0.9
SK PHS,SK,-1.0,0.0,False,920.0,920.0,PHS,True,6.0,0.866025403784,0.866025403784
SK H2,SK,-1.0,195362.993923,True,0.0,0.0251827092426,H2,True,168.0,0.75,0.58
SK battery,SK,-1.0,120388.58286,True,0.0,0.0621725409044,battery,True,6.0,0.9,0.9
EE H2,EE,-1.0,195362.993923,True,0.0,388.495762393,H2,True,168.0,0.75,0.58
EE battery,EE,-1.0,120388.58286,True,0.0,0.0266703140006,battery,True,6.0,0.9,0.9
LV H2,LV,-1.0,195362.993923,True,0.0,2061.58033934,H2,True,168.0,0.75,0.58
LV battery,LV,-1.0,120388.58286,True,0.0,0.0273540981791,battery,True,6.0,0.9,0.9
LT PHS,LT,-1.0,0.0,False,760.0,760.0,PHS,True,6.0,0.866025403784,0.866025403784
LT hydro,LT,0.0,0.0,False,528.0,528.0,hydro,True,378.787878788,0.0,1.0
LT H2,LT,-1.0,195362.993923,True,0.0,0.0503333546569,H2,True,168.0,0.75,0.58
LT battery,LT,-1.0,120388.58286,True,0.0,0.0190899307902,battery,True,6.0,0.9,0.9
